,Preprocessing flow,Accuracy,Precision,Recall,F1,ROC_AUC
0,processing_flow_0,0.8867480676599081,0.8850157346889373,0.8721374045801527,0.8785293764267692,0.8859103073587141
1,processing_flow_1,0.8841716142041,0.8851219512195122,0.8656965648854962,0.8753014954172698,0.8831122739950183
2,processing_flow_10,0.8837235353422203,0.8789043728976453,0.8726145038167938,0.8757481446013886,0.8830865549706989
3,processing_flow_11,0.9063515178671446,0.910871694417238,0.8874045801526718,0.8989850169163847,0.9052651200657762
4,processing_flow_12,0.8774504312759046,0.8790993636808615,0.8568702290076335,0.8678424740275428,0.8762703837752001
5,processing_flow_13,0.8942533885963929,0.8986254295532646,0.8733301526717557,0.8857972417130414,0.8930536719008199
6,processing_flow_14,0.9080318135991935,0.9042935955864716,0.8993320610687023,0.9018060040664992,0.9075329787920069
7,processing_flow_15,0.8793547664388932,0.879045996592845,0.8616412213740458,0.8702565955908926,0.8783390900956819
8,processing_flow_16,0.8842836339195699,0.8797787929790815,0.8728530534351145,0.8763022392527839,0.8836282162634919
9,processing_flow_17,0.8922370337179344,0.8977832512315271,0.8695133587786259,0.8834222006786234,0.8909340817124386
10,processing_flow_2,0.8917889548560547,0.8934146341463415,0.8738072519083969,0.8835021707670043,0.8907579026173452
11,processing_flow_3,0.8903326985549457,0.8838709677419355,0.882395038167939,0.88313238629581,0.8898775613226179
12,processing_flow_4,0.8809230424554721,0.8729439809296782,0.8735687022900763,0.8732562298795755,0.8805013522010045
13,processing_flow_5,0.8785706284306037,0.875,0.8649809160305344,0.8699616122840692,0.8777914083848554
14,processing_flow_6,0.8767783129830851,0.8718133718133718,0.8647423664122137,0.8682634730538921,0.876088184262073
15,processing_flow_7,0.885627870505209,0.8814048592735145,0.8740458015267175,0.8777099053778895,0.8849637666556502
16,processing_flow_9,0.8789066875770135,0.8759970993473531,0.8645038167938931,0.8702125105054628,0.8780808418710753
